train/train_loss_1_step,train/train_loss_2_step,train/train_loss_3_step,grad_2.0_norm_encoder_model.model.0.block.0.weight,grad_2.0_norm_encoder_model.model.0.block.0.bias,grad_2.0_norm_encoder_model.model.0.block.1.weight,grad_2.0_norm_encoder_model.model.0.block.1.bias,grad_2.0_norm_encoder_model.model.1.block.0.weight,grad_2.0_norm_encoder_model.model.1.block.0.bias,grad_2.0_norm_encoder_model.model.1.block.1.weight,grad_2.0_norm_encoder_model.model.1.block.1.bias,grad_2.0_norm_predictor.0.model.0.block.0.weight,grad_2.0_norm_predictor.0.model.0.block.0.bias,grad_2.0_norm_predictor.0.model.0.block.1.weight,grad_2.0_norm_predictor.0.model.0.block.1.bias,grad_2.0_norm_predictor.1.weight,grad_2.0_norm_predictor.1.bias,grad_2.0_norm_explainer.0.model.0.block.0.weight,grad_2.0_norm_explainer.0.model.0.block.0.bias,grad_2.0_norm_explainer.0.model.0.block.1.weight,grad_2.0_norm_explainer.0.model.0.block.1.bias,grad_2.0_norm_explainer.1.weight,grad_2.0_norm_explainer.1.bias,grad_2.0_norm_total,created_at,val/val_loss_1,val/val_loss_2,val/val_loss_3,val/val_loss,val/pred_accuracy,val/cf_proximity,val/cf_accuracy,val/robustness,val/total_diff_num,epoch,train/p_loss,train/train_loss_1_epoch,train/train_loss_2_epoch,train/train_loss_3_epoch,train/e_loss
0.04010235145688057,0.05013145133852959,0.009912043809890747,0.0894,0.0,0.0285,0.0301,0.0176,0.0,0.007,0.0233,0.0021,0.0,0.0024,0.0037,0.0028,0.0006,0.0047,0.0,0.0101,0.0198,0.0029,0.0012,0.1056,2021-01-16 15:55:53.423627,,,,,,,,,,,,,,,
0.025309979915618896,0.05037107691168785,0.006064768880605698,0.036,0.0,0.0218,0.0173,0.0129,0.0,0.012,0.0317,0.0019,0.0,0.0026,0.004,0.0022,0.0033,0.0048,0.0,0.009,0.0152,0.0051,0.0007,0.0615,2021-01-16 15:55:55.690226,,,,,,,,,,,,,,,
0.018555641174316406,0.05078490823507309,0.013287633657455444,0.0577,0.0,0.0245,0.0257,0.0147,0.0,0.0193,0.0335,0.0038,0.0,0.0033,0.0043,0.0031,0.0022,0.0075,0.0,0.0165,0.0306,0.0069,0.0016,0.0876,2021-01-16 15:55:57.644475,,,,,,,,,,,,,,,
0.023615969344973564,0.05078200250864029,0.011914651840925217,0.003,0.0,0.0033,0.0024,0.0022,0.0,0.0025,0.0066,0.0066,0.0,0.0078,0.0107,0.0087,0.0061,0.0041,0.0,0.0096,0.0069,0.0178,0.0012,0.0298,2021-01-16 15:55:59.938159,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2021-01-16 15:56:01.946660,0.045931294560432434,0.08741473406553268,0.026476895436644554,0.07328921556472778,0.9108800292015076,12.679361343383789,0.9611802101135254,1.0,8149.0,969.0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2021-01-16 15:56:02.486165,,,,,,,,,,969.0,0.04374050348997116,0.0330808199942112,0.05118311569094658,0.010884049348533154,0.011395880952477455
0.04049566015601158,0.05097702890634537,0.011572392657399178,0.0282,0.0,0.0164,0.0154,0.0118,0.0,0.0123,0.0196,0.0042,0.0,0.0051,0.0065,0.0029,0.0018,0.0064,0.0,0.0156,0.0278,0.0073,0.0015,0.0564,2021-01-16 15:56:03.902620,,,,,,,,,,,,,,,
0.01980925351381302,0.05069011077284813,0.0065591055899858475,0.0619,0.0,0.0406,0.0355,0.0191,0.0,0.0123,0.0334,0.0051,0.0,0.0052,0.0074,0.0048,0.0029,0.0044,0.0,0.0082,0.0144,0.0062,0.0009,0.0941,2021-01-16 15:56:06.152505,,,,,,,,,,,,,,,
0.03990048170089722,0.050429169088602066,0.007812044583261013,0.0077,0.0,0.005,0.0051,0.0029,0.0,0.0036,0.0095,0.0028,0.0,0.0022,0.0028,0.0022,0.0025,0.0023,0.0,0.0047,0.0055,0.0046,0.0008,0.0182,2021-01-16 15:56:08.207027,,,,,,,,,,,,,,,
0.020599406212568283,0.050995245575904846,0.014547713100910187,0.0061,0.0,0.0029,0.0028,0.0023,0.0,0.0025,0.0052,0.0032,0.0,0.0021,0.0026,0.0033,0.0016,0.0018,0.0,0.0035,0.0049,0.0032,0.0003,0.0133,2021-01-16 15:56:10.405014,,,,,,,,,,,,,,,
